cell viability,Knockdown,PEI Ratio,NP Ratio,PBA Ratio,Score
44.5,104.0,69.19864,9.215722,12.560149,-59.5
45.577551020408166,104.0,68.47426,9.197068,12.893191,-58.422448979591834
46.655102040816324,104.0,67.630226,9.212952,13.253098,-57.344897959183676
47.73265306122449,104.0,66.53381,9.304284,13.673361,-56.26734693877551
48.810204081632655,104.0,65.43741,9.395617,14.093625,-55.189795918367345
49.88775510204081,104.0,64.340996,9.486949,14.513888,-54.11224489795919
50.96530612244898,104.0,62.84789,9.569077,14.716224,-53.03469387755102
52.042857142857144,104.0,61.31035,9.650172,14.894146,-51.957142857142856
53.12040816326531,104.0,59.810497,9.726752,15.087412,-50.87959183673469
54.19795918367347,104.0,58.399284,9.819611,15.6339,-49.80204081632653
55.275510204081634,104.0,57.0803,9.948694,16.764978,-48.724489795918366
56.35306122448979,104.0,55.922546,10.0666685,18.369354,-47.64693877551021
57.43061224489796,104.0,55.284313,10.073918,19.250225,-46.56938775510204
58.50816326530612,104.0,55.341816,10.029021,19.279516,-45.49183673469388
59.58571428571429,104.0,55.399323,9.984124,19.308807,-44.41428571428571
60.663265306122454,104.0,55.45683,9.939227,19.338099,-43.336734693877546
61.74081632653061,104.0,55.51433,9.89433,19.36739,-42.25918367346939
62.81836734693877,104.0,55.57184,9.849433,19.39668,-41.18163265306123
63.89591836734694,104.0,55.629345,9.804536,19.425972,-40.10408163265306
64.9734693877551,104.0,55.686848,9.75964,19.455263,-39.0265306122449
66.05102040816327,104.0,55.91305,9.650523,19.313866,-37.94897959183673
67.12857142857143,104.0,56.243343,9.500925,19.071182,-36.87142857142857
68.20612244897958,104.0,56.57541,9.350127,18.829165,-35.793877551020415
69.28367346938776,104.0,56.907475,9.199328,18.58715,-34.716326530612236
70.36122448979592,104.0,57.239536,9.048531,18.345133,-33.638775510204084
71.43877551020408,104.0,57.54803,8.905876,18.18445,-32.56122448979592
72.51632653061225,104.0,57.791714,8.785615,18.247429,-31.483673469387753
73.59387755102041,104.0,58.035393,8.665355,18.310406,-30.406122448979588
74.67142857142858,104.0,58.282246,8.541774,18.373932,-29.328571428571422
75.74897959183673,104.0,58.53332,8.413771,18.438189,-28.25102040816327
76.82653061224491,104.0,58.784397,8.285767,18.502445,-27.17346938775509
77.90408163265306,104.0,59.03547,8.1577635,18.5667,-26.09591836734694
78.98163265306123,104.0,59.286545,8.02976,18.630957,-25.018367346938774
80.05918367346939,104.0,59.849224,7.82566,18.637894,-23.94081632653061
81.13673469387754,104.0,60.67025,7.5699153,18.70385,-22.863265306122457
82.21428571428572,104.0,61.677887,7.2645674,18.717148,-21.785714285714278
83.29183673469387,104.0,62.634987,7.003831,18.741022,-20.708163265306126
84.36938775510204,104.0,63.458908,6.803541,18.73279,-19.63061224489796
85.4469387755102,104.0,64.39265,6.59153,18.64285,-18.553061224489795
86.52448979591837,104.0,65.08007,6.455799,18.488527,-17.47551020408163
87.60204081632654,104.0,65.88426,6.2459235,18.273745,-16.397959183673464
88.67959183673469,104.0,66.67718,6.0660973,17.901192,-15.320408163265313
89.75714285714287,104.0,67.5424,5.912993,17.454884,-14.242857142857133
90.83469387755102,104.0,68.57094,5.732208,16.961689,-13.165306122448982
91.91224489795918,104.0,70.019775,5.4778156,15.992422,-12.087755102040816
92.98979591836735,104.0,71.51779,5.1841245,14.753855,-11.01020408163265
94.06734693877551,104.0,73.09598,4.8371086,12.775426,-9.932653061224485
95.14489795918368,104.0,74.71316,4.4641933,10.430369,-8.85510204081632
96.22244897959183,104.0,76.33034,4.0912776,8.085312,-7.777551020408168
97.3,104.0,77.94751,3.7183628,5.7402573,-6.700000000000003
44.5,174.28571428571428,69.56566,9.025733,12.742565,-129.78571428571428
45.577551020408166,174.28571428571428,68.84128,9.007079,13.075608,-128.7081632653061
46.655102040816324,174.28571428571428,68.11689,8.988425,13.40865,-127.63061224489795
47.73265306122449,174.28571428571428,67.3777,8.973717,13.744549,-126.5530612244898
48.810204081632655,174.28571428571428,66.313194,9.05386,14.154831,-125.47551020408162
49.88775510204081,174.28571428571428,65.21679,9.145191,14.575094,-124.39795918367346
50.96530612244898,174.28571428571428,64.12038,9.236524,14.995357,-123.3204081632653
52.042857142857144,174.28571428571428,62.73964,9.321259,15.259423,-122.24285714285713
53.12040816326531,174.28571428571428,61.202095,9.402354,15.4373455,-121.16530612244897
54.19795918367347,174.28571428571428,59.682964,9.481244,15.622763,-120.0877551020408
55.275510204081634,174.28571428571428,58.228065,9.593861,16.32271,-119.01020408163265
56.35306122448979,174.28571428571428,56.798546,9.773162,17.959976,-117.93265306122449
57.43061224489796,174.28571428571428,55.629463,9.89492,19.577936,-116.85510204081632
58.50816326530612,174.28571428571428,55.486507,9.872692,19.890787,-115.77755102040815
59.58571428571429,174.28571428571428,55.54401,9.827796,19.920078,-114.69999999999999
60.663265306122454,174.28571428571428,55.601517,9.782899,19.94937,-113.62244897959182
61.74081632653061,174.28571428571428,55.659023,9.738002,19.978659,-112.54489795918366
62.81836734693877,174.28571428571428,55.716526,9.693105,20.007952,-111.4673469387755
63.89591836734694,174.28571428571428,55.774033,9.648207,20.037243,-110.38979591836734
64.9734693877551,174.28571428571428,55.83154,9.60331,20.066532,-109.31224489795918
66.05102040816327,174.28571428571428,55.88904,9.5584135,20.095825,-108.23469387755101
67.12857142857143,174.28571428571428,56.024097,9.483995,20.046654,-107.15714285714284
68.20612244897958,174.28571428571428,56.351578,9.336299,19.802912,-106.07959183673469
69.28367346938776,174.28571428571428,56.683643,9.1855,19.560896,-105.00204081632651
