cell viability,Knockdown,PEI Ratio,NP Ratio,PBA Ratio,Score
44.5,104.0,65.5253,9.878894,9.920561,-59.5
45.577551020408166,104.0,64.680176,9.865802,10.662962,-58.422448979591834
46.655102040816324,104.0,63.751907,9.854041,11.465186,-57.344897959183676
47.73265306122449,104.0,62.823643,9.842281,12.2674055,-56.26734693877551
48.810204081632655,104.0,61.89538,9.830521,13.069629,-55.189795918367345
49.88775510204081,104.0,61.12404,9.821036,13.753587,-54.11224489795919
50.96530612244898,104.0,60.441902,9.812844,14.370324,-53.03469387755102
52.042857142857144,104.0,59.759766,9.804652,14.98706,-51.957142857142856
53.12040816326531,104.0,59.07763,9.79646,15.603794,-50.87959183673469
54.19795918367347,104.0,58.39549,9.788269,16.22053,-49.80204081632653
55.275510204081634,104.0,57.713352,9.780077,16.837265,-48.724489795918366
56.35306122448979,104.0,57.374714,9.7696705,17.209183,-47.64693877551021
57.43061224489796,104.0,57.272324,9.744783,17.452778,-46.56938775510204
58.50816326530612,104.0,57.260223,9.708135,17.662844,-45.49183673469388
59.58571428571429,104.0,57.248123,9.671486,17.87291,-44.41428571428571
60.663265306122454,104.0,57.23602,9.634838,18.082972,-43.336734693877546
61.74081632653061,104.0,57.22392,9.598189,18.293037,-42.25918367346939
62.81836734693877,104.0,57.211815,9.561541,18.503101,-41.18163265306123
63.89591836734694,104.0,57.199715,9.524892,18.713167,-40.10408163265306
64.9734693877551,104.0,57.18761,9.488243,18.92323,-39.0265306122449
66.05102040816327,104.0,57.17551,9.451594,19.133297,-37.94897959183673
67.12857142857143,104.0,57.16341,9.414947,19.343359,-36.87142857142857
68.20612244897958,104.0,57.151306,9.378298,19.553427,-35.793877551020415
69.28367346938776,104.0,57.124916,9.31039,19.896645,-34.716326530612236
70.36122448979592,104.0,57.059242,9.163336,20.569036,-33.638775510204084
71.43877551020408,104.0,56.993565,9.016281,21.241432,-32.56122448979592
72.51632653061225,104.0,56.93926,8.8709,21.88841,-31.483673469387753
73.59387755102041,104.0,56.91986,8.724698,22.483597,-30.406122448979588
74.67142857142858,104.0,56.900463,8.578496,23.078783,-29.328571428571422
75.74897959183673,104.0,57.50359,8.353909,22.858158,-28.25102040816327
76.82653061224491,104.0,58.204586,8.12281,22.495823,-27.17346938775509
77.90408163265306,104.0,58.90558,7.891713,22.13349,-26.09591836734694
78.98163265306123,104.0,59.606575,7.6606154,21.771154,-25.018367346938774
80.05918367346939,104.0,60.267467,7.438065,21.448227,-23.94081632653061
81.13673469387754,104.0,60.878307,7.208704,21.244349,-22.863265306122457
82.21428571428572,104.0,61.481503,6.98157,21.048239,-21.785714285714278
83.29183673469387,104.0,62.07566,6.7613134,20.821566,-20.708163265306126
84.36938775510204,104.0,63.116867,6.4890842,20.03594,-19.63061224489796
85.4469387755102,104.0,64.60289,6.150327,18.641645,-18.553061224489795
86.52448979591837,104.0,66.125984,5.8574224,17.082426,-17.47551020408163
87.60204081632654,104.0,67.66694,5.616166,15.341761,-16.397959183673464
88.67959183673469,104.0,69.035324,5.397951,13.811178,-15.320408163265313
89.75714285714287,104.0,70.363464,5.1845717,12.329849,-14.242857142857133
90.83469387755102,104.0,71.69544,4.982152,10.802706,-13.165306122448982
91.91224489795918,104.0,72.98755,4.806731,9.254116,-12.087755102040816
92.98979591836735,104.0,74.24312,4.6387863,7.7468596,-11.01020408163265
94.06734693877551,104.0,75.513306,4.4860826,6.187807,-9.932653061224485
95.14489795918368,104.0,76.80293,4.3575916,4.5738487,-8.85510204081632
96.22244897959183,104.0,78.09443,4.2318974,2.9563522,-7.777551020408168
97.3,104.0,79.38541,4.1066337,1.3380966,-6.700000000000003
44.5,174.28571428571428,65.93634,9.71455,10.223186,-129.78571428571428
45.577551020408166,174.28571428571428,65.39138,9.68356,10.806458,-128.7081632653061
46.655102040816324,174.28571428571428,64.753,9.658643,11.434875,-127.63061224489795
47.73265306122449,174.28571428571428,63.98854,9.640407,12.134963,-126.5530612244898
48.810204081632655,174.28571428571428,63.06028,9.628647,12.937182,-125.47551020408162
49.88775510204081,174.28571428571428,62.13201,9.616886,13.739406,-124.39795918367346
50.96530612244898,174.28571428571428,61.20375,9.605126,14.541628,-123.3204081632653
52.042857142857144,174.28571428571428,60.499355,9.596611,15.175136,-122.24285714285713
53.12040816326531,174.28571428571428,59.817215,9.58842,15.791872,-121.16530612244897
54.19795918367347,174.28571428571428,59.13508,9.580229,16.408607,-120.0877551020408
55.275510204081634,174.28571428571428,58.45294,9.572037,17.025341,-119.01020408163265
56.35306122448979,174.28571428571428,57.770805,9.563845,17.642078,-117.93265306122449
57.43061224489796,174.28571428571428,57.26831,9.550605,18.143108,-116.85510204081632
58.50816326530612,174.28571428571428,57.130016,9.529512,18.396984,-115.77755102040815
59.58571428571429,174.28571428571428,57.04557,9.501088,18.62977,-114.69999999999999
60.663265306122454,174.28571428571428,57.03347,9.464439,18.839834,-113.62244897959182
61.74081632653061,174.28571428571428,57.021366,9.427791,19.0499,-112.54489795918366
62.81836734693877,174.28571428571428,57.009266,9.391142,19.259964,-111.4673469387755
63.89591836734694,174.28571428571428,56.99716,9.354494,19.470028,-110.38979591836734
64.9734693877551,174.28571428571428,56.98506,9.317845,19.680094,-109.31224489795918
66.05102040816327,174.28571428571428,56.972958,9.281197,19.890158,-108.23469387755101
67.12857142857143,174.28571428571428,56.960857,9.244548,20.100224,-107.15714285714284
68.20612244897958,174.28571428571428,56.95131,9.211546,20.298641,-106.07959183673469
69.28367346938776,174.28571428571428,56.940277,9.173556,20.523905,-105.00204081632651
